date,state,fips,cases,deaths
2020-05-01,Alabama,1,7294,289
2020-05-01,Alaska,2,362,7
2020-05-01,Arizona,4,7962,330
2020-05-01,Arkansas,5,3310,64
2020-05-01,California,6,52318,2147
2020-05-01,Colorado,8,15661,818
2020-05-01,Connecticut,9,28764,2339
2020-05-01,Delaware,10,4918,159
2020-05-01,District of Columbia,11,4658,231
2020-05-01,Florida,12,34720,1313
2020-05-01,Georgia,13,26436,1153
2020-05-01,Guam,66,1115,6
2020-05-01,Hawaii,15,610,16
2020-05-01,Idaho,16,2035,63
2020-05-01,Illinois,17,56055,2464
2020-05-01,Indiana,18,18941,1175
2020-05-01,Iowa,19,7883,170
2020-05-01,Kansas,20,4512,136
2020-05-01,Kentucky,21,4879,248
2020-05-01,Louisiana,22,28711,1927
2020-05-01,Maine,23,1123,55
2020-05-01,Maryland,24,23566,1192
2020-05-01,Massachusetts,25,64311,3716
2020-05-01,Michigan,26,42348,3866
2020-05-01,Minnesota,27,5730,371
2020-05-01,Mississippi,28,7212,281
2020-05-01,Missouri,29,7840,355
2020-05-01,Montana,30,452,16
2020-05-01,Nebraska,31,4838,73
2020-05-01,Nevada,32,5249,254
2020-05-01,New Hampshire,33,2310,81
2020-05-01,New Jersey,34,121190,7538
2020-05-01,New Mexico,35,3513,131
2020-05-01,New York,36,313575,23841
2020-05-01,North Carolina,37,10922,405
2020-05-01,North Dakota,38,1107,23
2020-05-01,Northern Mariana Islands,69,14,2
2020-05-01,Ohio,39,18743,1002
2020-05-01,Oklahoma,40,3748,230
2020-05-01,Oregon,41,2579,104
2020-05-01,Pennsylvania,42,49764,2671
2020-05-01,Puerto Rico,72,1573,94
2020-05-01,Rhode Island,44,8962,279
2020-05-01,South Carolina,45,6258,256
2020-05-01,South Dakota,46,2525,21
2020-05-01,Tennessee,47,11853,214
2020-05-01,Texas,48,30342,853
2020-05-01,Utah,49,4829,46
2020-05-01,Vermont,50,879,50
2020-05-01,Virgin Islands,78,66,4
2020-05-01,Virginia,51,16901,581
2020-05-01,Washington,53,15010,829
2020-05-01,West Virginia,54,1151,47
2020-05-01,Wisconsin,55,7314,327
2020-05-01,Wyoming,56,566,7
2020-05-02,Alabama,1,7611,288
2020-05-02,Alaska,2,363,7
2020-05-02,Arizona,4,8364,353
2020-05-02,Arkansas,5,3372,72
2020-05-02,California,6,53753,2213
2020-05-02,Colorado,8,16118,830
2020-05-02,Connecticut,9,29287,2436
2020-05-02,Delaware,10,5038,168
2020-05-02,District of Columbia,11,4797,240
2020-05-02,Florida,12,35455,1363
2020-05-02,Georgia,13,27268,1161
2020-05-02,Guam,66,1117,6
2020-05-02,Hawaii,15,611,16
2020-05-02,Idaho,16,2061,64
2020-05-02,Illinois,17,58505,2576
2020-05-02,Indiana,18,19629,1229
2020-05-02,Iowa,19,8641,175
2020-05-02,Kansas,20,4865,140
2020-05-02,Kentucky,21,4881,252
2020-05-02,Louisiana,22,29140,1950
2020-05-02,Maine,23,1152,56
2020-05-02,Maryland,24,24568,1251
2020-05-02,Massachusetts,25,66263,3846
2020-05-02,Michigan,26,43191,4020
2020-05-02,Minnesota,27,6228,395
2020-05-02,Mississippi,28,7441,291
2020-05-02,Missouri,29,8154,373
2020-05-02,Montana,30,454,16
2020-05-02,Nebraska,31,5332,76
